Date,Mean Temperature,PM10,SO2
2021-03-02,3.5,25.87,11.07
2021-03-03,2.0,29.16,10.43
2021-03-04,3.5,23.49,8.51
2021-03-05,6.0,27.25,10.64
2021-03-06,10.0,24.49,9.63
2021-03-07,3.5,12.65,6.08
2021-03-08,2.5,10.56,8.65
2021-03-09,4.0,18.08,9.62
2021-03-10,7.0,24.3,10.59
2021-03-11,9.5,31.8,10.81
2021-03-12,-0.5,6.1,6.16
2021-03-13,3.5,16.32,8.46
2021-03-14,10.0,20.27,8.9
2021-03-15,11.0,23.01,7.93
2021-03-16,14.5,29.72,6.54
2021-03-17,12.5,14.11,6.85
2021-03-18,7.5,12.05,6.11
2021-03-19,4.5,17.56,7.12
2021-03-20,4.5,24.37,8.03
2021-03-21,3.5,25.98,8.21
2021-03-22,5.5,22.42,9.51
2021-03-23,12.5,30.68,8.13
2021-03-24,2.0,8.22,6.71
2021-03-25,3.0,10.09,7.4125
2021-03-26,3.5,19.91,8.115
2021-03-27,1.5,7.93,8.817499999999999
2021-03-28,5.5,20.28,9.52
2021-03-29,7.0,26.32,10.2225
2021-03-30,10.0,24.95,10.925
2021-03-31,11.0,31.3,11.627500000000001
2021-04-01,12.5,36.6,12.33
2021-04-02,7.5,19.59,9.89
2021-04-03,9.5,23.87,9.57
2021-04-04,12.5,20.01,9.6
2021-04-05,13.5,27.14,11.51
2021-04-06,9.5,25.9,10.47
2021-04-07,17.5,45.88,8.11
2021-04-08,21.0,66.38,9.6
2021-04-09,7.0,15.6,9.03
2021-04-10,5.0,8.88,10.54
2021-04-11,4.5,15.44,12.91
2021-04-12,7.0,19.93,12.69
2021-04-13,6.0,25.95,12.14
2021-04-14,11.5,19.17,9.94
2021-04-15,14.0,22.68,8.9
2021-04-16,17.0,26.67,9.41
2021-04-17,13.5,36.12,10.78
2021-04-18,17.0,47.74,8.77
2021-04-19,20.5,49.86,9.72
2021-04-20,20.0,40.95,7.1
2021-04-21,11.5,14.78,8.73
2021-04-22,11.5,16.07,8.05
2021-04-23,14.0,14.58,6.4
2021-04-24,14.5,18.22,9.65
2021-04-25,13.5,21.76,9.3
2021-04-26,11.5,19.95,8.15
2021-04-27,8.5,13.32,9.65
2021-04-28,16.5,27.19,9.74
2021-04-29,19.0,31.6,8.38
2021-04-30,20.5,31.78,7.25
2021-05-01,17.0,22.99,7.6
2021-05-02,17.0,19.3,8.14
2021-05-03,21.5,31.37,7.54
2021-05-04,17.5,27.38,7.47
2021-05-05,13.5,9.6,7.65
2021-05-06,19.5,13.78,8.43
2021-05-07,17.0,13.84,7.93
2021-05-08,19.5,13.67,5.87
2021-05-09,11.0,12.78,8.3
2021-05-10,8.0,6.3,8.73
2021-05-11,9.0,11.98,7.5
2021-05-12,14.5,12.8,6.2
2021-05-13,23.5,19.65,8.11
2021-05-14,26.5,34.95,7.3
2021-05-15,20.5,28.69,8.2
2021-05-16,25.5,28.46,7.59
2021-05-17,16.0,18.31,6.12
2021-05-18,18.5,15.21,8.26
2021-05-19,17.5,14.58,6.48
2021-05-20,23.5,18.1,6.72
2021-05-21,27.5,33.96,7.8
2021-05-22,15.5,23.84,5.4
2021-05-23,13.0,5.55,7.56
2021-05-24,14.5,6.76,8.35
2021-05-25,14.0,12.18,7.95
2021-05-26,15.5,21.96,7.25
2021-05-27,16.5,17.49,8.41
2021-05-28,18.5,17.73,8.47
2021-05-29,21.0,17.42,6.86
2021-05-30,17.0,17.11,7.43
2021-05-31,22.5,16.799999999999997,7.48
2021-06-01,21.0,16.49,7.25
2021-06-02,17.5,6.45,7.17
2021-06-03,15.5,6.15,7.04
2021-06-04,16.0,11.74,8.83
2021-06-05,16.0,9.84,7.39
2021-06-06,13.5,6.21,7.84
2021-06-07,16.0,9.93,7.58
2021-06-08,18.5,13.71,9.75
2021-06-09,18.0,14.1,7.22
2021-06-10,17.5,15.06,7.83
2021-06-11,17.5,11.46,7.53
2021-06-12,17.0,11.55,7.53
2021-06-13,17.5,12.16,7.92
2021-06-14,25.0,16.5,6.91
2021-06-15,22.5,16.91,8.02
2021-06-16,20.0,17.59,6.91
2021-06-17,19.5,8.36,5.62
2021-06-18,20.5,12.91,7.2
2021-06-19,21.5,16.8,5.72
2021-06-20,21.5,16.09,6.25
2021-06-21,24.0,24.21,5.45
2021-06-22,23.5,16.82,6.17
2021-06-23,22.5,11.83,6.89
2021-06-24,22.5,9.25,4.63
2021-06-25,22.0,12.15,5.52
2021-06-26,22.5,16.25,5.78
2021-06-27,21.5,15.9175,5.35
2021-06-28,22.5,15.585,5.63
2021-06-29,21.5,15.2525,4.74
2021-06-30,23.0,14.92,5.9
2021-07-01,23.5,20.96,4.98
2021-07-02,25.0,17.94,6.5
2021-07-03,28.0,25.12,4.94
2021-07-04,23.5,16.38,6.92
2021-07-05,21.0,10.55,5.09
2021-07-06,22.0,14.37,4.65
2021-07-07,22.0,12.58,5.79
2021-07-08,22.5,16.05,6.86
2021-07-09,22.0,14.18,7.82
2021-07-10,22.5,7.96,6.07
2021-07-11,24.0,14.76,5.21
2021-07-12,24.5,16.99,5.37
2021-07-13,24.5,15.37,6.87
2021-07-14,24.0,12.03,5.21
2021-07-15,22.0,9.06,5.11
2021-07-16,24.0,15.33,5.61
2021-07-17,25.5,23.61,6.07
2021-07-18,29.5,22.68,5.72
2021-07-19,31.0,33.84,3.96
2021-07-20,30.0,35.36,4.93
2021-07-21,27.0,21.6,4.9
2021-07-22,20.5,7.9,4.86
2021-07-23,20.0,6.88,5.11
2021-07-24,20.0,10.87,5.69
2021-07-25,21.0,11.34,5.03
2021-07-26,23.0,15.03,4.34
2021-07-27,22.0,8.45,3.97
2021-07-28,19.5,7.31,4.36
2021-07-29,21.5,13.11,6.06
2021-07-30,22.5,14.66,6.04
2021-07-31,23.5,12.91,5.74
2021-08-01,24.0,12.58,4.6
2021-08-02,23.5,13.85,7.57
2021-08-03,24.5,16.05,4.81
2021-08-04,25.0,18.54,4.96
2021-08-05,25.0,18.83,5.93
2021-08-06,29.5,22.0,4.8
2021-08-07,29.5,15.53,6.8
2021-08-08,23.5,10.08,6.07
2021-08-09,24.0,9.09,5.0
2021-08-10,21.5,12.66,4.18
2021-08-11,21.5,5.94,5.92
2021-08-12,21.0,10.71,4.6
2021-08-13,22.0,8.42,5.54
2021-08-14,20.0,9.3125,5.71
2021-08-15,19.5,10.205,4.15
2021-08-16,20.5,11.0975,6.32
2021-08-17,22.0,11.99,6.53
2021-08-18,23.0,17.82,6.68
2021-08-19,22.0,9.42,5.04
2021-08-20,21.0,13.29,5.31
2021-08-21,21.5,16.0,5.57
2021-08-22,22.0,10.3,5.4
2021-08-23,22.0,13.7,4.03
2021-08-24,24.0,14.63,4.5
2021-08-25,23.5,19.46,6.56
2021-08-26,24.0,21.05,5.73
2021-08-27,26.0,22.82,3.85
2021-08-28,26.5,29.86,5.27
2021-08-29,28.5,33.61,4.47
2021-08-30,28.5,27.57,6.43
2021-08-31,23.5,17.44,5.46
2021-09-01,24.0,23.15,4.89
2021-09-02,20.5,12.43,5.48
2021-09-03,16.0,5.5,4.63
2021-09-04,15.5,6.0,5.84
2021-09-05,17.0,7.38,5.39
2021-09-06,18.0,7.3,5.33
2021-09-07,18.0,9.83,4.55
2021-09-08,17.5,10.99,5.49
2021-09-09,19.5,11.98,4.88
2021-09-10,21.5,12.9,5.96
2021-09-11,19.0,6.66,4.97
2021-09-12,19.0,6.02,4.97
2021-09-13,19.5,12.62,5.64
2021-09-14,21.0,12.63,5.1
2021-09-15,22.0,14.7,5.44
2021-09-16,20.5,9.45,5.63
2021-09-17,16.5,11.42,5.13
2021-09-18,18.5,15.18,4.62
2021-09-19,21.0,13.9,5.47
2021-09-20,20.0,17.52,4.56
2021-09-21,23.0,24.63,9.12
2021-09-22,16.0,15.72,8.774999999999999
2021-09-23,15.5,6.18,8.43
2021-09-24,12.5,7.725,7.66
2021-09-25,13.0,9.27,5.68
2021-09-26,13.0,9.43,4.38
2021-09-27,14.0,11.96,5.18
2021-09-28,15.5,15.24,4.31
2021-09-29,14.0,10.58,5.0
2021-09-30,14.0,14.57,5.03
2021-10-01,13.5,10.3,5.08
2021-10-02,15.5,16.03,6.89
2021-10-03,14.0,10.13,4.74
2021-10-04,13.5,8.69,5.66
2021-10-05,12.5,15.06,5.61
2021-10-06,10.5,13.6,5.32
2021-10-07,14.5,17.75,6.47
2021-10-08,14.5,16.96,5.53
2021-10-09,17.5,25.51,5.18
2021-10-10,15.5,31.71,7.66
2021-10-11,17.0,34.13,4.2
2021-10-12,19.5,34.92,5.65
2021-10-13,20.5,41.87,6.14
2021-10-14,17.0,45.79,7.13
2021-10-15,19.5,44.9,6.03
2021-10-16,19.0,55.2,4.69
2021-10-17,16.5,50.12,4.82
2021-10-18,14.5,13.24,6.34
2021-10-19,12.0,12.37,7.5
2021-10-20,10.0,11.21,5.26
